Pid,Title,Category,Subcategory,weekday,hour,image,label
149005,having a drink,Food,Drinks,4,3,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/22687@N84/149005.jpg,10.07
149948,"Foto Agne Sterberg, Destination Hga Kusten, AGMA Forntid & ventyr AB, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,2,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/149948.jpg,6.27
151388,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,21,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/151388.jpg,5.46
151389,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,10,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/151389.jpg,5.39
151390,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,21,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/151390.jpg,5.36
151391,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,20,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/151391.jpg,5.52
151392,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,7,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/151392.jpg,5.58
159045,"Foto Agne Sterberg, Destination Hga Kusten, AGMA Forntid & ventyr AB, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,1,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/159045.jpg,5.95
159046,"Foto Agne Sterberg, Destination Hga Kusten, AGMA Forntid & ventyr AB, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,2,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/159046.jpg,6.0
159048,"Foto Agne Sterberg, Destination Hga Kusten, AGMA Forntid & ventyr AB, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,2,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/159048.jpg,6.15
160914,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,10,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/160914.jpg,5.32
160915,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,7,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/160915.jpg,5.36
160916,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,21,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/160916.jpg,5.32
160917,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,9,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/160917.jpg,5.52
160931,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,1,20,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/160931.jpg,5.49
160932,"Foto Agne Sterberg, AGMA Forntid & ventyr AB, Destination Hga Kusten, www.destinationhogakusten.com",Travel&Active&Sports,Baseball,0,9,C:\Users\user\Desktop\碩一下\資料探勘\HW\113-2-data-mining-homework-2\train/17614@N19/160932.jpg,5.58
