Pid,label
149005,10.07
149948,6.27
151388,5.46
151389,5.39
151390,5.36
151391,5.52
151392,5.58
159045,5.95
159046,6.0
159048,6.15
160914,5.32
160915,5.36
160916,5.32
160917,5.52
160931,5.49
160932,5.58
160933,5.58
160963,5.46
163223,5.98
164002,5.46
164003,5.43
164389,5.36
164390,5.32
164391,5.46
164419,5.64
164420,5.52
166628,9.17
166713,9.67
167186,9.78
167988,9.45
170340,13.03
170709,5.0
170710,5.0
170711,5.17
170712,5.32
170713,5.0
170714,5.0
170715,5.04
170716,5.09
170717,5.39
170718,5.25
170719,5.58
170720,5.25
170721,5.32
170722,4.91
170723,4.91
170724,5.0
170725,4.86
170726,5.0
170728,5.0
170729,4.91
170730,5.0
170731,5.0
170732,5.09
170733,4.91
170735,5.09
170736,5.0
170737,5.04
170738,4.95
170739,4.95
170753,5.17
170754,5.17
170755,5.13
170756,5.58
170757,5.25
170758,4.95
170759,4.86
170760,5.09
170761,5.17
170762,5.36
170763,5.29
170764,5.32
170765,5.25
170770,4.95
170771,4.95
170772,4.86
170773,4.91
170774,4.95
170775,5.04
170776,4.91
170777,5.04
170778,5.09
170779,5.17
170816,5.0
170817,4.91
170818,4.91
171777,12.11
172480,5.17
172481,4.95
174410,4.95
174411,5.0
174412,5.13
174413,5.0
174414,4.81
174415,5.09
174416,4.95
174417,5.13
174418,5.25
174419,5.32
174420,5.55
174421,5.25
174422,5.39
174423,5.36
174424,5.29
174426,5.04
174427,5.09
174428,4.86
174429,4.91
174430,4.91
174431,5.0
174432,5.09
174433,5.09
174436,5.25
174437,5.32
174438,5.21
174439,4.81
174440,5.13
174441,5.36
174442,5.29
174443,5.09
174444,5.21
174445,5.52
174446,4.86
174447,4.95
174448,4.81
174449,4.95
174450,5.04
174451,4.91
174452,5.04
174453,5.21
174456,5.0
174457,4.95
174458,5.04
174459,4.91
174460,4.95
174461,4.91
174462,4.86
174463,5.13
174464,5.0
174465,5.04
174466,5.04
174467,5.13
174468,5.09
174470,5.04
174471,5.09
174472,4.91
174473,5.0
174474,5.09
174484,5.09
174485,5.0
174486,5.04
174487,5.0
174488,5.0
174489,5.04
174490,5.13
174491,5.25
174492,5.04
174493,5.13
174494,5.21
174495,5.17
174496,5.09
174497,4.95
174498,4.91
174499,4.91
174500,4.86
174501,4.91
174502,5.0
174503,5.0
174504,5.09
174505,5.13
174506,5.04
174507,5.36
174508,5.09
174509,5.0
174510,4.95
175930,5.04
175931,5.04
175932,5.0
175933,5.0
175934,5.09
175935,4.95
175936,5.0
175937,5.29
175938,5.21
175939,5.0
175940,5.0
175941,4.91
175942,5.13
175943,5.25
175944,5.46
175945,5.32
175946,5.21
175947,5.21
175948,5.43
175949,5.36
175950,5.39
175951,7.67
175953,4.91
175955,4.86
175956,4.95
175958,5.0
175959,5.04
175960,5.09
175961,4.95
175962,5.0
175963,4.95
175964,4.95
176195,5.13
176196,5.09
176197,5.17
176198,5.25
176199,5.0
176200,5.0
176201,5.04
176202,4.91
176203,4.81
176204,4.86
176205,4.91
176206,5.0
176207,5.17
176208,5.21
176209,5.36
176210,5.32
176211,5.29
176212,5.29
176213,5.29
176214,5.64
176215,4.95
176216,5.32
176217,4.86
176218,4.95
176219,4.91
176220,4.86
176221,5.0
176222,4.95
176223,4.95
176224,5.04
176225,5.13
176226,5.04
176227,5.09
176228,5.09
176229,5.09
176230,5.13
176231,5.0
176232,5.04
176233,5.0
176234,5.04
176247,5.04
176248,4.95
176249,4.95
176250,5.0
176251,5.04
176252,4.95
176253,5.17
176254,5.29
176255,5.21
176256,4.95
176257,5.04
176258,5.21
176259,5.73
176260,5.36
176263,4.95
176264,4.91
176265,4.86
176266,5.0
176267,5.0
176268,5.13
176269,5.0
176270,5.09
176271,5.09
176272,5.09
176273,5.09
176274,4.95
176277,5.0
176278,5.09
176279,5.0
176280,5.09
176281,5.29
176282,5.32
176283,5.0
176284,5.0
176285,5.04
176286,5.32
176287,5.21
176288,5.49
176291,4.91
176292,4.91
176293,4.95
176294,4.91
176295,5.0
176296,5.0
176297,5.17
176298,5.09
176584,6.73
179845,11.35
180755,10.27
181709,11.5
182636,10.25
183440,10.14
184275,10.4
184983,11.46
185104,8.55
185218,11.27
185313,6.7
185884,10.9
187192,10.31
187958,8.75
188388,10.98
189699,10.31
194292,9.63
195204,8.71
195287,9.77
195643,8.82
196614,11.27
197190,9.08
197579,10.52
198304,8.53
199044,10.21
201402,10.3
202149,10.44
202420,7.82
203144,10.65
204907,11.01
206070,12.46
206274,9.97
207510,6.07
207511,6.09
207512,6.02
207556,5.95
207560,6.19
207584,5.73
207589,7.42
208855,8.76
209039,8.43
211083,9.98
212464,10.06
212472,11.59
212487,10.08
213245,10.34
213488,4.95
215048,5.67
215050,5.78
215067,6.07
215070,5.75
215423,13.63
215521,7.63
216342,7.83
216604,9.76
216611,10.23
216913,10.11
216994,12.55
217127,9.32
217328,9.1
217881,5.98
217885,6.04
217888,5.75
218141,8.39
218150,5.91
218154,5.88
218157,6.04
218288,5.81
218290,5.75
218522,5.95
218526,6.07
218531,5.75
219522,11.1
221020,9.8
221938,10.28
222367,8.65
222368,8.95
222369,9.39
222371,8.64
222372,8.57
222373,8.5
222374,8.71
222376,8.76
222378,8.69
222379,8.84
222382,8.66
222383,8.69
222395,8.76
222397,8.53
222398,8.64
222401,8.66
222402,8.71
222403,8.74
222405,8.72
222407,8.92
222408,8.9
222409,8.74
222413,8.67
222414,8.69
222415,8.74
222416,8.9
222988,8.86
223010,8.23
223716,10.11
223892,10.94
224225,9.73
225793,12.43
226823,9.63
226904,12.36
228239,7.52
228342,8.7
228465,10.74
228875,10.06
229020,9.0
231609,8.67
231623,8.71
231624,8.64
231625,8.63
231628,8.88
231629,8.64
231631,8.64
231634,8.75
231637,8.71
231646,8.83
231647,8.9
231648,8.66
231649,8.67
231650,8.81
231651,8.72
231652,8.75
231654,8.59
231655,8.66
231656,8.77
231658,8.74
231661,8.84
231663,8.69
231665,8.71
231667,8.69
231669,8.75
231671,8.59
231672,8.51
231674,8.65
231681,8.67
231687,8.71
231690,8.64
231696,8.67
231697,9.99
231708,8.7
231712,8.68
231722,8.74
231723,8.66
231724,8.7
231726,8.7
231727,8.74
231900,12.93
233230,9.3
233738,10.51
233774,10.6
233775,10.63
233823,11.01
233825,10.93
233861,11.06
234270,12.46
234457,12.46
234458,13.1
235534,9.89
235536,8.84
235537,8.84
235538,8.92
235542,8.54
235543,8.7
235544,8.7
235545,8.7
235546,8.67
235547,8.76
235548,8.73
235549,8.71
235550,8.71
235551,8.7
235556,8.7
235558,8.72
235559,8.67
235872,9.01
235884,6.36
235885,8.57
235889,8.76
235890,8.67
235904,8.75
235921,8.84
235932,8.68
236006,13.77
236034,9.55
236139,8.55
236144,8.79
236147,9.64
236155,8.65
236164,8.58
236172,8.63
236173,8.64
236174,8.71
236176,8.67
236177,8.74
236178,8.74
236179,8.82
236374,8.73
236375,8.69
236379,8.68
236384,8.61
236385,8.64
236386,8.62
236387,8.69
236389,8.61
236397,8.67
236402,8.68
236403,8.69
236408,8.72
236412,8.6
236414,8.72
237036,11.04
237100,8.76
237535,10.6
237536,10.58
237665,10.91
238281,9.95
238282,10.63
238619,10.99
238891,10.01
238962,10.78
239332,9.98
239334,11.35
240139,9.03
241267,7.68
242378,13.04
242392,7.52
243295,8.76
245904,7.39
245928,12.68
245929,12.45
245937,12.69
248163,8.54
248534,9.0
248583,9.01
250990,9.08
251240,11.05
251690,13.28
254316,11.21
255571,9.84
255896,10.36
259313,8.38
